Date Time;Temp (°C) LGR S/N: 20024338,  #20024338;RH (%) LGR S/N: 20024338,  #20024338;Coupler Detached LGR S/N: 20024338;Coupler Attached LGR S/N: 20024338;Host Connected LGR S/N: 20024338;End Of File LGR S/N: 20024338
09.10.2020 08:00:00;14.936;84.904;Logged;;;
09.10.2020 08:15:00;14.098;89.361;;;;
09.10.2020 08:30:00;14.218;88.834;;;;
09.10.2020 08:45:00;14.745;85.211;;;;
09.10.2020 09:00:00;14.649;86.347;;;;
09.10.2020 09:15:00;14.768;86.160;;;;
09.10.2020 09:30:00;15.055;84.986;;;;
09.10.2020 09:45:00;14.912;84.139;;;;
09.10.2020 10:00:00;14.721;85.907;;;;
09.10.2020 10:15:00;14.792;87.427;;;;
09.10.2020 10:30:00;14.768;87.876;;;;
09.10.2020 10:45:00;14.697;89.189;;;;
09.10.2020 11:00:00;14.768;89.975;;;;
09.10.2020 11:15:00;15.031;89.112;;;;
09.10.2020 11:30:00;15.652;86.206;;;;
09.10.2020 11:45:00;16.392;82.616;;;;
09.10.2020 12:00:00;17.034;77.186;;;;
09.10.2020 12:15:00;16.987;79.588;;;;
09.10.2020 12:30:00;17.201;76.656;;;;
09.10.2020 12:45:00;17.082;76.632;;;;
09.10.2020 13:00:00;16.725;79.839;;;;
09.10.2020 13:15:00;16.129;83.517;;;;
09.10.2020 13:30:00;15.986;83.894;;;;
09.10.2020 13:45:00;16.511;79.263;;;;
09.10.2020 14:00:00;16.272;82.781;;;;
09.10.2020 14:15:00;15.843;86.305;;;;
09.10.2020 14:30:00;15.605;88.504;;;;
09.10.2020 14:45:00;15.414;89.311;;;;
09.10.2020 15:00:00;15.270;90.178;;;;
09.10.2020 15:15:00;15.175;90.947;;;;
09.10.2020 15:30:00;15.175;90.789;;;;
09.10.2020 15:45:00;15.151;90.466;;;;
09.10.2020 16:00:00;15.055;90.970;;;;
09.10.2020 16:15:00;14.840;90.284;;;;
09.10.2020 16:30:00;14.457;91.321;;;;
09.10.2020 16:45:00;13.978;91.855;;;;
09.10.2020 17:00:00;13.738;92.446;;;;
09.10.2020 17:15:00;13.666;92.558;;;;
09.10.2020 17:30:00;13.570;92.871;;;;
09.10.2020 17:45:00;13.425;93.637;;;;
09.10.2020 18:00:00;13.305;93.658;;;;
09.10.2020 18:15:00;13.161;93.930;;;;
09.10.2020 18:30:00;13.040;94.516;;;;
09.10.2020 18:45:00;13.016;94.356;;;;
09.10.2020 19:00:00;12.968;94.189;;;;
09.10.2020 19:15:00;12.944;93.667;;;;
09.10.2020 19:30:00;12.896;93.809;;;;
09.10.2020 19:45:00;12.871;93.855;;;;
09.10.2020 20:00:00;12.847;93.823;;;;
09.10.2020 20:15:00;12.823;93.636;;;;
09.10.2020 20:30:00;12.847;93.436;;;;
09.10.2020 20:45:00;12.823;93.533;;;;
09.10.2020 21:00:00;12.799;93.268;;;;
09.10.2020 21:15:00;12.775;93.107;;;;
09.10.2020 21:30:00;12.727;93.172;;;;
09.10.2020 21:45:00;12.654;93.154;;;;
09.10.2020 22:00:00;12.606;93.554;;;;
09.10.2020 22:15:00;12.558;93.464;;;;
09.10.2020 22:30:00;12.485;93.754;;;;
09.10.2020 22:45:00;12.413;94.352;;;;
09.10.2020 23:00:00;12.509;94.095;;;;
09.10.2020 23:15:00;12.606;94.043;;;;
09.10.2020 23:30:00;12.654;94.030;;;;
09.10.2020 23:45:00;12.654;94.184;;;;
10.10.2020 00:00:00;12.461;94.621;;;;
10.10.2020 00:15:00;12.413;95.222;;;;
10.10.2020 00:30:00;12.340;94.896;;;;
10.10.2020 00:45:00;12.316;95.146;;;;
10.10.2020 01:00:00;12.437;95.152;;;;
10.10.2020 01:15:00;12.509;95.299;;;;
10.10.2020 01:30:00;12.485;95.701;;;;
10.10.2020 01:45:00;12.485;96.210;;;;
10.10.2020 02:00:00;12.534;96.274;;;;
10.10.2020 02:15:00;12.437;96.095;;;;
10.10.2020 02:30:00;12.389;96.235;;;;
10.10.2020 02:45:00;12.413;96.318;;;;
10.10.2020 03:00:00;12.437;96.070;;;;
10.10.2020 03:15:00;12.316;96.419;;;;
10.10.2020 03:30:00;12.147;96.475;;;;
10.10.2020 03:45:00;12.122;96.696;;;;
10.10.2020 04:00:00;12.074;96.987;;;;
10.10.2020 04:15:00;12.001;96.942;;;;
10.10.2020 04:30:00;12.050;97.006;;;;
10.10.2020 04:45:00;11.953;97.408;;;;
10.10.2020 05:00:00;11.807;97.394;;;;
10.10.2020 05:15:00;11.686;97.638;;;;
10.10.2020 05:30:00;11.662;97.858;;;;
10.10.2020 05:45:00;11.637;98.152;;;;
10.10.2020 06:00:00;11.856;98.011;;;;
10.10.2020 06:15:00;12.098;97.473;;;;
10.10.2020 06:30:00;12.243;97.210;;;;
10.10.2020 06:45:00;12.292;97.475;;;;
10.10.2020 07:00:00;12.364;97.848;;;;
10.10.2020 07:15:00;12.485;98.284;;;;
10.10.2020 07:30:00;12.509;98.769;;;;
10.10.2020 07:45:00;12.558;99.559;;;;
10.10.2020 08:00:00;12.703;100.000;;;;
10.10.2020 08:15:00;12.823;100.000;;;;
10.10.2020 08:30:00;12.896;100.000;;;;
10.10.2020 08:45:00;12.992;100.000;;;;
10.10.2020 09:00:00;13.064;100.000;;;;
10.10.2020 09:15:00;13.281;100.000;;;;
10.10.2020 09:30:00;13.209;99.990;;;;
10.10.2020 09:45:00;13.016;99.736;;;;
10.10.2020 10:00:00;12.654;97.321;;;;
10.10.2020 10:15:00;12.098;97.498;;;;
10.10.2020 10:30:00;11.662;96.344;;;;
10.10.2020 10:45:00;11.321;97.865;;;;
10.10.2020 11:00:00;11.029;98.735;;;;
10.10.2020 11:15:00;10.834;99.179;;;;
10.10.2020 11:30:00;10.785;99.364;;;;
10.10.2020 11:45:00;10.858;99.980;;;;
10.10.2020 12:00:00;11.053;100.000;;;;
10.10.2020 12:15:00;11.175;100.000;;;;
10.10.2020 12:30:00;11.273;100.000;;;;
10.10.2020 12:45:00;11.370;100.000;;;;
10.10.2020 13:00:00;11.419;100.000;;;;
10.10.2020 13:15:00;11.273;99.102;;;;
10.10.2020 13:30:00;11.029;98.186;;;;
10.10.2020 13:45:00;10.761;97.611;;;;
10.10.2020 14:00:00;10.687;97.892;;;;
10.10.2020 14:15:00;10.541;97.200;;;;
10.10.2020 14:30:00;10.394;98.310;;;;
10.10.2020 14:45:00;10.369;97.979;;;;
10.10.2020 15:00:00;10.296;98.482;;;;
10.10.2020 15:15:00;10.222;99.306;;;;
10.10.2020 15:30:00;10.247;99.882;;;;
10.10.2020 15:45:00;10.026;98.606;;;;
10.10.2020 16:00:00;9.706;97.822;;;;
10.10.2020 16:15:00;9.583;98.930;;;;
10.10.2020 16:30:00;9.435;99.333;;;;
10.10.2020 16:45:00;9.287;99.094;;;;
10.10.2020 17:00:00;9.015;97.880;;;;
10.10.2020 17:15:00;8.693;98.558;;;;
10.10.2020 17:30:00;8.270;98.490;;;;
10.10.2020 17:45:00;7.920;98.515;;;;
10.10.2020 18:00:00;7.594;99.063;;;;
10.10.2020 18:15:00;7.368;99.195;;;;
10.10.2020 18:30:00;7.242;99.306;;;;
10.10.2020 18:45:00;6.965;99.228;;;;
10.10.2020 19:00:00;6.864;99.492;;;;
10.10.2020 19:15:00;6.813;99.672;;;;
10.10.2020 19:30:00;6.737;99.505;;;;
10.10.2020 19:45:00;6.585;99.705;;;;
10.10.2020 20:00:00;6.560;99.576;;;;
10.10.2020 20:15:00;6.560;99.746;;;;
10.10.2020 20:30:00;6.535;99.593;;;;
10.10.2020 20:45:00;6.535;99.690;;;;
10.10.2020 21:00:00;6.408;99.484;;;;
10.10.2020 21:15:00;6.153;98.999;;;;
10.10.2020 21:30:00;5.719;99.022;;;;
10.10.2020 21:45:00;5.462;99.241;;;;
10.10.2020 22:00:00;5.334;99.494;;;;
10.10.2020 22:15:00;5.128;99.581;;;;
10.10.2020 22:30:00;4.921;99.039;;;;
10.10.2020 22:45:00;4.584;99.619;;;;
10.10.2020 23:00:00;4.402;99.783;;;;
10.10.2020 23:15:00;4.168;99.788;;;;
10.10.2020 23:30:00;4.324;100.000;;;;
10.10.2020 23:45:00;4.194;100.000;;;;
11.10.2020 00:00:00;3.827;99.306;;;;
11.10.2020 00:15:00;3.617;99.534;;;;
11.10.2020 00:30:00;3.670;100.000;;;;
11.10.2020 00:45:00;4.063;100.000;;;;
11.10.2020 01:00:00;4.480;100.000;;;;
11.10.2020 01:15:00;4.792;100.000;;;;
11.10.2020 01:30:00;4.740;100.000;;;;
11.10.2020 01:45:00;4.792;100.000;;;;
11.10.2020 02:00:00;4.636;100.000;;;;
11.10.2020 02:15:00;4.402;100.000;;;;
11.10.2020 02:30:00;4.141;100.000;;;;
11.10.2020 02:45:00;4.037;100.000;;;;
11.10.2020 03:00:00;3.617;99.822;;;;
11.10.2020 03:15:00;3.406;99.546;;;;
11.10.2020 03:30:00;2.930;99.146;;;;
11.10.2020 03:45:00;2.877;99.322;;;;
11.10.2020 04:00:00;2.664;99.691;;;;
11.10.2020 04:15:00;2.503;100.000;;;;
11.10.2020 04:30:00;2.236;99.996;;;;
11.10.2020 04:45:00;2.155;99.782;;;;
11.10.2020 05:00:00;2.236;100.000;;;;
11.10.2020 05:15:00;2.450;100.000;;;;
11.10.2020 05:30:00;2.557;100.000;;;;
11.10.2020 05:45:00;2.744;100.000;;;;
11.10.2020 06:00:00;2.850;100.000;;;;
11.10.2020 06:15:00;3.036;100.000;;;;
11.10.2020 06:30:00;3.221;100.000;;;;
11.10.2020 06:45:00;3.301;100.000;;;;
11.10.2020 07:00:00;3.564;100.000;;;;
11.10.2020 07:15:00;3.906;100.000;;;;
11.10.2020 07:30:00;4.194;100.000;;;;
11.10.2020 07:45:00;4.454;100.000;;;;
11.10.2020 08:00:00;4.766;100.000;;;;
11.10.2020 08:15:00;5.076;100.000;;;;
11.10.2020 08:30:00;5.411;100.000;;;;
11.10.2020 08:45:00;5.693;100.000;;;;
11.10.2020 09:00:00;5.949;100.000;;;;
11.10.2020 09:15:00;6.281;99.667;;;;
11.10.2020 09:30:00;6.484;99.043;;;;
11.10.2020 09:45:00;6.661;99.093;;;;
11.10.2020 10:00:00;6.940;98.903;;;;
11.10.2020 10:15:00;7.142;97.265;;;;
11.10.2020 10:30:00;7.318;96.893;;;;
11.10.2020 10:45:00;7.544;95.787;;;;
11.10.2020 11:00:00;7.770;94.773;;;;
11.10.2020 11:15:00;7.920;92.467;;;;
11.10.2020 11:30:00;8.020;91.525;;;;
11.10.2020 11:45:00;8.095;91.621;;;;
11.10.2020 12:00:00;8.220;91.066;;;;
11.10.2020 12:15:00;8.344;89.942;;;;
11.10.2020 12:30:00;8.295;86.948;;;;
11.10.2020 12:45:00;8.245;88.911;;;;
11.10.2020 13:00:00;8.270;87.724;;;;
11.10.2020 13:15:00;8.419;86.743;;;;
11.10.2020 13:30:00;8.543;86.381;;;;
11.10.2020 13:45:00;8.618;86.084;;;;
11.10.2020 14:00:00;8.668;88.186;;;;
11.10.2020 14:15:00;8.767;85.172;;;;
11.10.2020 14:30:00;8.965;85.219;;;;
11.10.2020 14:45:00;8.990;87.326;;;;
11.10.2020 15:00:00;8.817;87.232;;;;
11.10.2020 15:15:00;8.618;89.572;;;;
11.10.2020 15:30:00;8.394;91.264;;;;
11.10.2020 15:45:00;8.170;91.972;;;;
11.10.2020 16:00:00;7.970;92.581;;;;
11.10.2020 16:15:00;7.720;93.603;;;;
11.10.2020 16:30:00;7.519;94.531;;;;
11.10.2020 16:45:00;7.217;94.751;;;;
11.10.2020 17:00:00;6.889;95.162;;;;
11.10.2020 17:15:00;6.661;95.698;;;;
11.10.2020 17:30:00;6.535;95.812;;;;
11.10.2020 17:45:00;6.433;96.280;;;;
11.10.2020 18:00:00;6.357;96.555;;;;
11.10.2020 18:15:00;6.255;96.971;;;;
11.10.2020 18:30:00;6.204;97.350;;;;
11.10.2020 18:45:00;6.026;97.399;;;;
11.10.2020 19:00:00;5.898;97.658;;;;
11.10.2020 19:15:00;5.847;97.693;;;;
11.10.2020 19:30:00;5.745;98.104;;;;
11.10.2020 19:45:00;5.745;98.202;;;;
11.10.2020 20:00:00;5.642;98.246;;;;
