Date Time;Temp (°C) LGR S/N: 20024354,  #20024354;RH (%) LGR S/N: 20024354,  #20024354;Coupler Detached LGR S/N: 20024354;Coupler Attached LGR S/N: 20024354;Host Connected LGR S/N: 20024354;Stopped LGR S/N: 20024354;End Of File LGR S/N: 20024354
08.04.2021 21:00:00;18.771;43.792;Logged;;;;
08.04.2021 21:15:00;18.913;33.071;;;;;
08.04.2021 21:30:00;18.200;35.269;;;;;
08.04.2021 21:45:00;18.414;36.465;;;;;
08.04.2021 22:00:00;18.652;36.978;;;;;
08.04.2021 22:15:00;18.842;36.932;;;;;
08.04.2021 22:30:00;18.961;37.009;;;;;
08.04.2021 22:45:00;19.056;36.986;;;;;
08.04.2021 23:00:00;19.127;36.732;;;;;
08.04.2021 23:15:00;19.151;35.950;;;;;
08.04.2021 23:30:00;19.175;35.560;;;;;
08.04.2021 23:45:00;19.175;35.298;;;;;
09.04.2021 00:00:00;19.175;35.035;;;;;
09.04.2021 00:15:00;19.175;34.707;;;;;
09.04.2021 00:30:00;19.175;34.510;;;;;
09.04.2021 00:45:00;19.175;34.510;;;;;
09.04.2021 01:00:00;19.175;34.576;;;;;
09.04.2021 01:15:00;19.175;34.707;;;;;
09.04.2021 01:30:00;19.199;34.644;;;;;
09.04.2021 01:45:00;19.199;34.775;;;;;
09.04.2021 02:00:00;19.199;34.513;;;;;
09.04.2021 02:15:00;19.175;34.313;;;;;
09.04.2021 02:30:00;19.175;34.247;;;;;
09.04.2021 02:45:00;19.151;34.311;;;;;
09.04.2021 03:00:00;19.151;33.850;;;;;
09.04.2021 03:15:00;19.127;33.848;;;;;
09.04.2021 03:30:00;19.127;34.210;;;;;
09.04.2021 03:45:00;19.151;34.771;;;;;
09.04.2021 04:00:00;19.175;36.182;;;;;
09.04.2021 04:15:00;19.175;36.737;;;;;
09.04.2021 04:30:00;19.175;38.884;;;;;
09.04.2021 04:45:00;19.222;40.248;;;;;
09.04.2021 05:00:00;19.270;39.347;;;;;
09.04.2021 05:15:00;19.270;38.537;;;;;
09.04.2021 05:30:00;15.891;23.136;;;;;
09.04.2021 05:45:00;11.953;37.356;;;;;
09.04.2021 06:00:00;11.443;42.144;;;;;
09.04.2021 06:15:00;12.292;44.468;;;;;
09.04.2021 06:30:00;14.553;39.644;;;;;
09.04.2021 06:45:00;17.748;31.284;;;;;
09.04.2021 07:00:00;20.222;28.026;;;;;
09.04.2021 07:15:00;19.436;23.785;;;;;
09.04.2021 07:30:00;13.161;39.906;;;;;
09.04.2021 07:45:00;9.903;43.432;;;;;
09.04.2021 08:00:00;7.720;51.350;;;;;
09.04.2021 08:15:00;7.469;54.603;;;;;
09.04.2021 08:30:00;8.170;46.675;;;;;
09.04.2021 08:45:00;8.668;45.571;;;;;
09.04.2021 09:00:00;7.970;51.084;;;;;
09.04.2021 09:15:00;7.066;56.200;;;;;
09.04.2021 09:30:00;7.242;64.626;;;;;
09.04.2021 09:45:00;7.745;61.574;;;;;
09.04.2021 10:00:00;8.817;52.829;;;;;
09.04.2021 10:15:00;8.817;58.861;;;;;
09.04.2021 10:30:00;9.485;63.407;;;;;
09.04.2021 10:45:00;10.492;60.250;;;;;
09.04.2021 11:00:00;11.200;60.984;;;;;
09.04.2021 11:15:00;12.001;53.653;;;;;
09.04.2021 11:30:00;10.100;49.863;;;;;
09.04.2021 11:45:00;8.643;73.317;;;;;
09.04.2021 12:00:00;8.469;63.058;;;;;
09.04.2021 12:15:00;8.568;57.024;;;;;
09.04.2021 12:30:00;9.238;54.868;;;;;
09.04.2021 12:45:00;9.780;51.398;;;;;
09.04.2021 13:00:00;9.952;50.907;;;;;
09.04.2021 13:15:00;10.247;51.494;;;;;
09.04.2021 13:30:00;10.026;47.375;;;;;
09.04.2021 13:45:00;10.345;49.805;;;;;
09.04.2021 14:00:00;10.834;48.064;;;;;
09.04.2021 14:15:00;10.956;49.062;;;;;
09.04.2021 14:30:00;11.029;44.688;;;;;
09.04.2021 14:45:00;11.175;43.397;;;;;
09.04.2021 15:00:00;11.127;46.962;;;;;
09.04.2021 15:15:00;10.980;45.614;;;;;
09.04.2021 15:30:00;10.810;42.165;;;;;
09.04.2021 15:45:00;10.541;47.103;;;;;
09.04.2021 16:00:00;10.296;42.793;;;;;
09.04.2021 16:15:00;10.026;46.266;;;;;
09.04.2021 16:30:00;9.509;45.399;;;;;
09.04.2021 16:45:00;9.188;45.883;;;;;
09.04.2021 17:00:00;9.015;49.533;;;;;
09.04.2021 17:15:00;8.717;47.755;;;;;
09.04.2021 17:30:00;8.369;53.244;;;;;
09.04.2021 17:45:00;7.995;54.354;;;;;
09.04.2021 18:00:00;7.795;53.728;;;;;
09.04.2021 18:15:00;7.795;51.751;;;;;
09.04.2021 18:30:00;7.845;52.179;;;;;
09.04.2021 18:45:00;7.770;52.858;;;;;
09.04.2021 19:00:00;7.619;53.015;;;;;
09.04.2021 19:15:00;7.544;53.393;;;;;
09.04.2021 19:30:00;7.569;53.128;;;;;
09.04.2021 19:45:00;7.469;53.173;;;;;
09.04.2021 20:00:00;7.544;52.705;;;;;
09.04.2021 20:15:00;7.519;51.472;;;;;
09.04.2021 20:30:00;7.368;55.211;;;;;
09.04.2021 20:45:00;7.569;53.337;;;;;
09.04.2021 21:00:00;7.419;53.195;;;;;
09.04.2021 21:15:00;7.293;53.565;;;;;
09.04.2021 21:30:00;7.167;54.350;;;;;
09.04.2021 21:45:00;7.066;55.106;;;;;
09.04.2021 22:00:00;6.839;58.426;;;;;
09.04.2021 22:15:00;6.813;57.602;;;;;
09.04.2021 22:30:00;6.864;55.815;;;;;
09.04.2021 22:45:00;6.864;56.611;;;;;
09.04.2021 23:00:00;6.864;56.905;;;;;
09.04.2021 23:15:00;6.889;56.644;;;;;
09.04.2021 23:30:00;6.889;55.612;;;;;
09.04.2021 23:45:00;6.687;57.875;;;;;
10.04.2021 00:00:00;6.661;56.785;;;;;
10.04.2021 00:15:00;6.611;57.482;;;;;
10.04.2021 00:30:00;6.611;56.365;;;;;
10.04.2021 00:45:00;6.839;52.931;;;;;
10.04.2021 01:00:00;6.864;53.442;;;;;
10.04.2021 01:15:00;6.331;54.492;;;;;
10.04.2021 01:30:00;5.693;58.476;;;;;
10.04.2021 01:45:00;5.668;60.387;;;;;
10.04.2021 02:00:00;5.898;61.349;;;;;
10.04.2021 02:15:00;6.179;58.116;;;;;
10.04.2021 02:30:00;6.331;58.549;;;;;
10.04.2021 02:45:00;6.153;57.966;;;;;
10.04.2021 03:00:00;6.153;58.229;;;;;
10.04.2021 03:15:00;6.255;59.818;;;;;
10.04.2021 03:30:00;6.255;61.063;;;;;
10.04.2021 03:45:00;5.642;61.565;;;;;
10.04.2021 04:00:00;5.642;62.169;;;;;
10.04.2021 04:15:00;5.282;66.233;;;;;
10.04.2021 04:30:00;6.026;60.591;;;;;
10.04.2021 04:45:00;5.385;65.205;;;;;
10.04.2021 05:00:00;5.796;62.941;;;;;
10.04.2021 05:15:00;5.872;65.094;;;;;
10.04.2021 05:30:00;6.458;59.502;;;;;
10.04.2021 05:45:00;7.015;58.542;;;;;
10.04.2021 06:00:00;6.458;64.144;;;;;
10.04.2021 06:15:00;5.128;70.872;;;;;
10.04.2021 06:30:00;6.128;66.868;;;;;
10.04.2021 06:45:00;4.792;68.918;;;;;
10.04.2021 07:00:00;4.558;69.708;;;;;
10.04.2021 07:15:00;4.662;74.129;;;;;
10.04.2021 07:30:00;4.714;75.661;;;;;
10.04.2021 07:45:00;5.154;77.186;;;;;
10.04.2021 08:00:00;5.385;78.392;;;;;
10.04.2021 08:15:00;5.745;75.959;;;;;
10.04.2021 08:30:00;5.949;86.924;;;;;
10.04.2021 08:45:00;5.437;85.427;;;;;
10.04.2021 09:00:00;5.360;85.538;;;;;
10.04.2021 09:15:00;6.153;75.610;;;;;
10.04.2021 09:30:00;6.636;80.408;;;;;
10.04.2021 09:45:00;6.914;78.105;;;;;
10.04.2021 10:00:00;6.889;75.819;;;;;
10.04.2021 10:15:00;7.494;74.795;;;;;
10.04.2021 10:30:00;7.720;73.186;;;;;
10.04.2021 10:45:00;7.795;73.755;;;;;
10.04.2021 11:00:00;7.920;71.727;;;;;
10.04.2021 11:15:00;7.970;70.815;;;;;
10.04.2021 11:30:00;8.270;70.593;;;;;
10.04.2021 11:45:00;9.114;69.320;;;;;
10.04.2021 12:00:00;9.805;68.798;;;;;
10.04.2021 12:15:00;9.903;68.106;;;;;
10.04.2021 12:30:00;9.977;69.257;;;;;
10.04.2021 12:45:00;10.173;67.871;;;;;
10.04.2021 13:00:00;10.443;68.463;;;;;
10.04.2021 13:15:00;10.443;69.543;;;;;
10.04.2021 13:30:00;10.467;68.695;;;;;
10.04.2021 13:45:00;10.222;68.763;;;;;
10.04.2021 14:00:00;10.001;70.478;;;;;
10.04.2021 14:15:00;10.418;69.766;;;;;
10.04.2021 14:30:00;10.638;68.442;;;;;
10.04.2021 14:45:00;10.638;69.722;;;;;
10.04.2021 15:00:00;10.443;70.563;;;;;
10.04.2021 15:15:00;10.296;71.493;;;;;
10.04.2021 15:30:00;10.149;71.126;;;;;
10.04.2021 15:45:00;10.100;73.024;;;;;
10.04.2021 16:00:00;10.026;72.114;;;;;
10.04.2021 16:15:00;9.928;73.381;;;;;
10.04.2021 16:30:00;10.001;72.781;;;;;
10.04.2021 16:45:00;9.977;72.272;;;;;
10.04.2021 17:00:00;9.657;75.324;;;;;
10.04.2021 17:15:00;9.361;75.429;;;;;
10.04.2021 17:30:00;9.312;74.783;;;;;
10.04.2021 17:45:00;9.114;76.011;;;;;
10.04.2021 18:00:00;8.990;76.424;;;;;
10.04.2021 18:15:00;8.841;76.201;;;;;
10.04.2021 18:30:00;8.817;76.031;;;;;
10.04.2021 18:45:00;8.841;75.514;;;;;
10.04.2021 19:00:00;8.941;75.314;;;;;
10.04.2021 19:15:00;8.792;75.723;;;;;
10.04.2021 19:30:00;8.668;76.110;;;;;
10.04.2021 19:45:00;8.693;76.115;;;;;
10.04.2021 20:00:00;8.792;74.483;;;;;
10.04.2021 20:15:00;8.668;73.433;;;;;
10.04.2021 20:30:00;8.568;73.413;;;;;
10.04.2021 20:45:00;8.668;72.822;;;;;
10.04.2021 21:00:00;8.419;72.744;;;;;
10.04.2021 21:15:00;8.419;72.327;;;;;
10.04.2021 21:30:00;8.220;73.204;;;;;
10.04.2021 21:45:00;8.270;74.045;;;;;
10.04.2021 22:00:00;8.220;74.697;;;;;
10.04.2021 22:15:00;8.394;74.567;;;;;
10.04.2021 22:30:00;8.394;75.173;;;;;
10.04.2021 22:45:00;8.120;76.022;;;;;
10.04.2021 23:00:00;7.770;79.048;;;;;
10.04.2021 23:15:00;7.670;79.403;;;;;
10.04.2021 23:30:00;7.594;80.596;;;;;
10.04.2021 23:45:00;7.619;80.038;;;;;
11.04.2021 00:00:00;7.820;80.136;;;;;
